"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"AEK Athens","1_6_2024-2025","Aboubakary Koita",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",80,0,0,0,0,0,0,1,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,47,32,36,"(89%)",2,2,0,0,0,0,8,6,6,5,2,1,7,1,2,0,NA,NA,NA,NA,NA,NA,NA,1,0.889,0,NA,0.75,0.833,0.5,NA,"Win"
"AEK Athens","1_6_2024-2025","Thomas Strakosha",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,25,"(52%)",0,0,0,16,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,NA,0.52,NA,0.25,NA,NA,NA,NA,"Win"
"AEK Athens","1_6_2024-2025","Orbelin Pineda",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",66,0,0,0,0,0,2,2,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,82,63,72,"(88%)",6,0,0,8,5,0,5,4,2,2,3,2,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.875,NA,0.625,0.8,1,0.667,NA,"Win"
"AEK Athens","1_6_2024-2025","Levi Garcia",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","F",66,1,0,1,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,6,8,"(75%)",1,0,0,0,0,1,8,1,3,0,5,1,6,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0.75,NA,NA,0.125,0,0.2,NA,"Win"
"AEK Athens","1_6_2024-2025","Lazaros Rota",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","D",66,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,52,32,37,"(86%)",2,1,0,0,0,0,9,4,6,2,3,2,10,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.333,0.865,0,NA,0.444,0.333,0.667,NA,"Win"
"AEK Athens","1_6_2024-2025","Damian Szymanski",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",90,0,1,0,0,0,1,0,2,2,0,0,0,0,6,0,1,1,4,1,0,0,0,0,0,0,90,69,76,"(91%)",2,0,0,5,4,1,11,9,10,8,1,1,8,0,2,1,NA,NA,NA,NA,NA,NA,NA,1,0.908,NA,0.8,0.818,0.8,1,NA,"Win"
"AEK Athens","1_6_2024-2025","Erik Lamela",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18,12,15,"(80%)",0,0,0,0,0,0,4,0,3,0,1,0,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,0,0,0,NA,"Win"
"AEK Athens","1_6_2024-2025","Robert Ljubicic",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",80,0,0,0,0,0,1,1,4,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,54,35,37,"(95%)",1,2,1,1,1,0,13,5,10,5,3,0,6,3,1,0,NA,NA,NA,NA,NA,NA,NA,0.5,0.946,0.5,1,0.385,0.5,0,NA,"Win"
"AEK Athens","1_6_2024-2025","Moses Odubajo",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","D",24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,16,6,8,"(75%)",0,0,0,0,0,0,3,3,2,2,1,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,1,1,1,NA,"Win"
"AEK Athens","1_6_2024-2025","Nordin Amrabat",1,6,"1_6","2024-2025","Regular Season","First Round","Home","OFI Crete","M",90,0,1,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,67,34,46,"(74%)",4,7,5,5,4,1,9,3,8,2,1,1,18,2,0,0,NA,NA,NA,NA,NA,NA,NA,0.333,0.739,0.714,0.8,0.333,0.25,1,NA,"Win"
